num_comments,num_likes,num_new_celebrities,num_traditional_celebrities,brandname,productcategory
23,7508,0,0,revlon,beauty&cosmetic
262,103473,0,0,hm,apparels
625,97428,0,0,mercedesbenz,car
119,40214,0,0,danielwellington,jewellery&watches
1571,115287,0,0,mercedesbenz,car
384,119125,0,0,hm,apparels
409,95090,0,0,bmw,car
147,52848,0,0,topshop,apparels
52,2889,0,0,cottononbody,sports equipment
287,22013,0,0,danielwellington,jewellery&watches
597,101371,0,0,mercedesbenz,car
463,103844,0,0,bmw,car
68,4186,0,0,yslbeauty,beauty&cosmetic
416,53142,0,0,lamborghini,car
588,68544,0,0,topshop,apparels
599,79243,0,0,bmw,car
326,92072,0,0,hm,apparels
56,63388,0,0,mercedesbenz,car
9,1582,0,0,hyundaiusa,car
2,590,0,0,kitchenaidusa,home equipment
575,145580,0,0,forever21,apparels
344,44598,0,0,danielwellington,jewellery&watches
40,5521,0,0,revlon,beauty&cosmetic
14,6878,0,0,ferrariusa,car
56,14174,0,0,bulgariofficial,jewellery&watches
1113,32041,0,0,tiffanyandco,jewellery&watches
8,1742,0,0,toyotausa,car
449,79367,0,0,mercedesbenz,car
222,78791,0,0,mercedesbenz,car
79,33012,0,0,danielwellington,jewellery&watches
3422,516434,0,0,nike,sports equipment
26,1020,0,0,lovisajewellery,jewellery&watches
265,101962,0,0,bmw,car
191,71128,0,0,hm,apparels
24,5461,0,0,yslbeauty,beauty&cosmetic
1199,93426,0,0,mercedesbenz,car
756,62400,0,0,topshop,apparels
212,67687,0,0,topshop,apparels
343,91057,0,0,bmw,car
3787,96196,0,0,mercedesbenz,car
82,34029,0,0,lamborghini,car
28,10487,0,0,bulgariofficial,jewellery&watches
11,4055,0,0,revlon,beauty&cosmetic
194,72468,0,0,adidas,sports equipment
360,30961,0,0,danielwellington,jewellery&watches
132,43570,0,0,topshop,apparels
307,34749,0,0,tiffanyandco,jewellery&watches
23,4601,0,0,revlon,beauty&cosmetic
45,9152,0,0,esteelauder,beauty&cosmetic
102,8042,0,0,yslbeauty,beauty&cosmetic
271,30619,0,0,lamborghini,car
226,98036,0,0,bmw,car
80,58232,0,0,mercedesbenz,car
28,1235,0,0,kitchenaidusa,home equipment
275,145604,0,0,forever21,apparels
46,7897,0,0,esteelauder,beauty&cosmetic
605,85063,0,0,mercedesbenz,car
114,9946,0,0,ferrariusa,car
378,128794,0,0,forever21,apparels
1683,133674,0,0,mercedesbenz,car
74,30859,0,0,danielwellington,jewellery&watches
24,814,0,0,lovisajewellery,jewellery&watches
838,72895,0,0,louisvuitton,apparels
92,34300,0,0,danielwellington,jewellery&watches
549,97569,0,0,mercedesbenz,car
846,136550,0,0,bmw,car
18,2626,0,0,cottononbody,sports equipment
